"Category","Average Household Income by Race/Ethnicity (Dollars) ","Average Household Income by Race/Ethnicity (Dollars) "
"All",60864,139500
"White",119980,150380
"Black/African American",54762,67850
"American Indian/Alaskan Native",50672,57493
"Asian",93286,123855
"Native Hawaiian/Pacific Islander",133534,109632
"Some Other Race",60906,77644
"2+ Races",72825,112928
"Hispanic/Latino",76259,127991
"Non-Hispanic/Latino",60457,140645
