"Category","Average Household Income by Race/Ethnicity (Dollars) ","Average Household Income by Race/Ethnicity (Dollars) "
"All",64290,139500
"White",126134,150380
"Black/African American",56485,67850
"American Indian/Alaskan Native",61919,57493
"Asian",109729,123855
"Native Hawaiian/Pacific Islander",84534,109632
"Some Other Race",70175,77644
"2+ Races",95139,112928
"Hispanic/Latino",89182,127991
"Non-Hispanic/Latino",63468,140645
