"Category","Average Household Income by Race/Ethnicity (Dollars) ","Average Household Income by Race/Ethnicity (Dollars) "
"All",143879,139500
"White",160179,150380
"Black/African American",89713,67850
"American Indian/Alaskan Native",56928,57493
"Asian",138863,123855
"Native Hawaiian/Pacific Islander",117909,109632
"Some Other Race",74958,77644
"2+ Races",119854,112928
"Hispanic/Latino",111295,127991
"Non-Hispanic/Latino",150498,140645
