"Category","Average Household Income by Race/Ethnicity (Dollars) ","Average Household Income by Race/Ethnicity (Dollars) "
"All",129203,139500
"White",157122,150380
"Black/African American",80537,67850
"American Indian/Alaskan Native",63588,57493
"Asian",127134,123855
"Native Hawaiian/Pacific Islander",104477,109632
"Some Other Race",82865,77644
"2+ Races",115475,112928
"Hispanic/Latino",119039,127991
"Non-Hispanic/Latino",130074,140645
