"Category","Average Household Income by Race/Ethnicity (Dollars) ","Average Household Income by Race/Ethnicity (Dollars) "
"All",160653,139500
"White",138553,150380
"Black/African American",64709,67850
"American Indian/Alaskan Native",57030,57493
"Asian",112967,123855
"Native Hawaiian/Pacific Islander",114294,109632
"Some Other Race",80123,77644
"2+ Races",101416,112928
"Hispanic/Latino",134151,127991
"Non-Hispanic/Latino",163685,140645
