"Category","Average Household Income by Race/Ethnicity (Dollars) ","Average Household Income by Race/Ethnicity (Dollars) "
"All",153628,139500
"White",145156,150380
"Black/African American",61098,67850
"American Indian/Alaskan Native",45849,57493
"Asian",132569,123855
"Native Hawaiian/Pacific Islander",112113,109632
"Some Other Race",76838,77644
"2+ Races",136876,112928
"Hispanic/Latino",123161,127991
"Non-Hispanic/Latino",158844,140645
