"Category","Average Household Income by Race/Ethnicity (Dollars) ","Average Household Income by Race/Ethnicity (Dollars) "
"All",210694,139500
"White",157315,150380
"Black/African American",83215,67850
"American Indian/Alaskan Native",42850,57493
"Asian",119091,123855
"Native Hawaiian/Pacific Islander",112856,109632
"Some Other Race",84341,77644
"2+ Races",111706,112928
"Hispanic/Latino",184396,127991
"Non-Hispanic/Latino",213153,140645
